ID value,Status,Price (£)
29895546,inactive on: 04/09/2023,"14,995"
29895548,still active,"21,995"
29895598,still active,"40,690"
29895627,inactive on: 10/09/2023,"17,500"
29895691,still active,"17,934"
29895716,still active,"23,677"
29895724,still active,"19,798"
29895750,still active,"20,162"
29895758,still active,"22,990"
29895761,still active,"20,690"
29895764,still active,"9,990"
29896013,still active,"7,000"
29896023,still active,"3,995"
29896024,inactive on: 04/09/2023,"1,895"
29896036,inactive on: 18/09/2023,"3,795"
29896038,still active,"12,980"
29896062,still active,"4,995"
29896077,inactive on: 04/09/2023,"7,592"
29896080,inactive on: 10/09/2023,"13,992"
29896091,still active,"20,475"
29896096,still active,"25,995"
29896117,still active,"10,995"
29896118,still active,"6,995"
29896122,still active,"5,499"
29896123,inactive on: 04/09/2023,"9,999"
29896130,still active,"19,995"
29896134,still active,"5,995"
29896143,inactive on: 04/09/2023,"11,995"
29896150,still active,"12,990"
29896154,inactive on: 18/09/2023,"9,895"
29896162,still active,"16,699"
29896165,still active,"9,681"
29896213,still active,"8,750"
29896232,inactive on: 10/09/2023,"9,995"
29896240,still active,"13,600"
29896242,still active,"8,795"
29896243,still active,"4,450"
29896253,still active,"2,995"
29896256,still active,"3,995"
29896259,still active,"4,995"
29896275,still active,"10,495"
29896303,still active,"2,995"
29896322,still active,"20,974"
29896340,still active,"21,000"
29896389,still active,"49,995"
29896405,still active,"119,995"
29896444,still active,"11,995"
29896457,inactive on: 10/09/2023,"14,999"
29896472,still active,"6,395"
29896473,still active,"6,795"
29896488,still active,"7,495"
29896500,inactive on: 18/09/2023,"2,495"
29896514,still active,"5,590"
29896518,still active,"4,490"
29896519,still active,"4,490"
29896540,still active,"17,590"
29896541,still active,"5,495"
29896626,inactive on: 13/09/2023,"27,218"
29896763,still active,"23,299"
29896876,still active,"16,499"
29896891,still active,"11,249"
29896892,still active,"17,489"
29896945,inactive on: 04/09/2023,"20,250"
29896980,inactive on: 04/09/2023,"38,400"
29896987,still active,"26,000"
29896996,inactive on: 10/09/2023,"24,799"
29897086,still active,"19,450"
29897174,still active,"18,645"
29897177,still active,"17,945"
29897199,inactive on: 18/09/2023,"30,490"
29897279,inactive on: 04/09/2023,"53,986"
29897353,still active,"25,990"
29897422,still active,"16,250"
29897634,inactive on: 04/09/2023,"20,750"
29897740,inactive on: 04/09/2023,"12,395"
29897751,inactive on: 04/09/2023,"11,890"
29897757,inactive on: 04/09/2023,"24,995"
29897759,inactive on: 04/09/2023,"23,995"
29897928,inactive on: 04/09/2023,"46,000"
29898039,still active,"6,000"
29898070,inactive on: 10/09/2023,"14,699"
29898075,still active,"9,500"
29898086,still active,"8,450"
29898097,still active,"8,490"
29898102,still active,"6,490"
29898115,still active,"14,975"
29898126,still active,"17,495"
29898161,inactive on: 10/09/2023,"7,995"
29898173,still active,"25,895"
29898207,still active,"7,000"
29898208,still active,"8,750"
29898209,still active,"7,250"
29898212,still active,"4,850"
29898214,still active,"7,500"
29898219,still active,"9,000"
29898227,still active,"18,300"
29898265,still active,"5,495"
29898291,still active,"20,795"
29898304,still active,"9,795"
29898309,inactive on: 04/09/2023,"11,772"
29898310,inactive on: 04/09/2023,"14,799"
29898341,still active,"19,495"
29898347,still active,"10,495"
29898354,inactive on: 10/09/2023,"12,500"
29898369,inactive on: 10/09/2023,"17,491"
29898673,inactive on: 04/09/2023,"15,299"
29898698,inactive on: 04/09/2023,"14,299"
29898711,inactive on: 04/09/2023,"13,499"
29898719,inactive on: 04/09/2023,"8,999"
29898728,inactive on: 10/09/2023,"8,549"
29898745,inactive on: 04/09/2023,"19,999"
29898851,still active,"17,489"
29898887,inactive on: 10/09/2023,"31,990"
29898900,inactive on: 10/09/2023,"26,790"
29898913,inactive on: 04/09/2023,"18,745"
29899003,inactive on: 18/09/2023,"16,000"
29899087,still active,"50,000"
29899140,inactive on: 04/09/2023,"27,990"
29899175,inactive on: 04/09/2023,"27,000"
29899556,still active,"18,495"
29899558,still active,"17,995"
29899566,inactive on: 04/09/2023,"10,995"
29899610,inactive on: 04/09/2023,"22,822"
29899684,inactive on: 10/09/2023,"16,790"
29900022,still active,"18,000"
29900039,still active,"28,495"
29900040,still active,"7,295"
29900050,still active,"14,690"
29900059,still active,"14,350"
29900061,inactive on: 10/09/2023,"24,995"
29900087,still active,"129,850"
29900098,still active,"7,995"
29900109,still active,"9,390"
29900301,still active,"16,000"
29900314,still active,"19,995"
29900346,still active,"22,995"
29900401,inactive on: 04/09/2023,"17,745"
29900404,inactive on: 04/09/2023,"22,466"
29900407,still active,"28,995"
29900419,still active,"18,995"
29900425,inactive on: 13/09/2023,"15,000"
29900429,inactive on: 13/09/2023,"16,749"
29900526,inactive on: 18/09/2023,"18,900"
29900533,still active,"16,900"
29900574,inactive on: 10/09/2023,"16,546"
29900600,still active,"55,160"
29900622,still active,"26,630"
29900624,still active,"22,195"
29900642,still active,"16,890"
29900653,still active,"20,371"
29900656,inactive on: 10/09/2023,"18,688"
29900675,still active,"16,975"
29900716,still active,"44,975"
29900718,still active,"20,475"
29900737,inactive on: 18/09/2023,"31,475"
29900744,inactive on: 10/09/2023,"14,975"
29900753,still active,"34,975"
29900766,inactive on: 04/09/2023,"24,475"
29900768,inactive on: 10/09/2023,"30,475"
29900772,still active,"33,475"
29900783,still active,"16,975"
29900785,inactive on: 18/09/2023,"24,475"
29900791,still active,"15,995"
29900792,still active,"12,498"
29900793,inactive on: 13/09/2023,"12,559"
29900944,inactive on: 04/09/2023,"33,380"
29901248,still active,"10,995"
29901328,still active,"13,990"
29901342,still active,"2,990"
29901345,still active,"2,990"
29901361,still active,"2,295"
29901384,still active,"13,595"
29901392,still active,"33,950"
29901421,still active,"22,995"
29901478,still active,"45,450"
29901504,still active,"6,495"
29901510,still active,"18,995"
29901513,still active,"17,950"
29901516,still active,"19,995"
29901528,still active,"18,900"
29901531,still active,"15,990"
29901533,still active,"12,490"
29901546,still active,"8,695"
29901555,still active,"4,950"
29901559,still active,"5,950"
29901562,still active,"12,995"
29901591,still active,"41,995"
29901614,still active,"30,945"
29901617,still active,"24,450"
29901626,still active,"13,395"
29901689,still active,"31,900"
29901775,still active,"6,995"
29901776,still active,"4,995"
29901802,still active,"25,995"
29901819,still active,"18,450"
29901820,still active,"18,750"
29901833,still active,"11,995"
29901845,still active,"26,995"
29901875,still active,"10,995"
29901878,still active,"6,500"
29901884,still active,"14,750"
29901901,still active,"25,995"
29901909,still active,"9,981"
29901912,still active,"15,995"
29901914,still active,"5,995"
29901929,still active,"4,750"
29901936,still active,"16,498"
29901938,still active,"13,998"
29901949,still active,"18,995"
29901959,still active,"19,985"
29901962,still active,"12,685"
29901970,still active,"16,595"
29901973,still active,"21,595"
29901975,still active,"25,495"
29902010,still active,"13,490"
29902022,still active,"15,693"
29902037,still active,"12,990"
29902038,still active,"13,990"
29902040,still active,"20,690"
29902054,inactive on: 10/09/2023,"7,000"
29902070,still active,"6,800"
29902072,still active,"10,390"
29902075,still active,"31,995"
29902083,still active,"6,995"
29902088,still active,"8,950"
29902092,still active,"16,950"
29902096,still active,"12,845"
29902123,still active,"4,250"
29902124,still active,"7,000"
29902128,still active,"17,200"
29902177,still active,"17,897"
29902183,still active,"18,995"
29902185,still active,"24,495"
29902186,still active,"19,950"
29902195,still active,"14,745"
29902196,still active,"8,295"
29902213,still active,"13,495"
29902230,still active,"6,590"
29902238,still active,"18,295"
29902241,still active,"22,490"
29902246,still active,"18,250"
29902247,still active,"20,490"
29902288,still active,"23,750"
29902307,still active,"16,750"
29902324,still active,"13,195"
29902327,still active,"9,450"
29902334,still active,"8,995"
29902382,still active,"6,995"
29902387,still active,"8,995"
29902398,still active,"19,890"
29902399,still active,"17,990"
29902410,still active,"10,495"
29902421,still active,"18,650"
29902423,still active,"11,450"
29902426,still active,"10,425"
29902438,still active,"5,650"
29902443,still active,"9,995"
29902448,still active,"9,995"
29902453,still active,"6,950"
29902454,still active,"6,950"
29902458,still active,"12,700"
29902491,still active,"15,995"
29902500,still active,"6,295"
29902506,still active,"9,500"
29902507,still active,"17,500"
29902511,still active,"9,500"
29902553,still active,"14,990"
29902563,still active,"9,995"
29902566,still active,"20,495"
29902568,still active,"12,200"
29902572,still active,"33,950"
29902600,still active,"35,995"
29902604,still active,"5,950"
29902607,still active,"6,950"
29902608,still active,"25,000"
29902620,still active,"15,250"
29902633,still active,"24,850"
29902635,still active,"20,295"
29902650,still active,"5,795"
29902693,still active,"8,995"
29902695,still active,"7,995"
29902702,still active,"7,950"
29902709,still active,"5,495"
29902713,still active,"3,395"
29902716,still active,"4,995"
29902719,still active,"5,995"
29902727,still active,"29,950"
29902753,still active,"43,950"
29902756,still active,"13,750"
29902757,still active,"7,250"
29902766,still active,"15,350"
29902767,still active,"18,995"
29902784,still active,"8,490"
29902786,still active,"8,990"
29902798,still active,"5,750"
29902814,still active,"9,995"
29902819,still active,"35,995"
29902827,still active,"17,990"
29902854,still active,"29,995"
29902870,still active,"33,450"
29902871,still active,"18,450"
29902909,still active,"18,450"
29902911,still active,"6,250"
29902918,still active,"4,240"
29902920,still active,"40,695"
29902945,still active,"7,995"
29902946,still active,"4,995"
29902958,still active,"11,490"
29902960,still active,"19,490"
29902965,still active,"6,995"
29902978,still active,"3,990"
29902987,still active,"28,995"
29903016,still active,"13,950"
29903018,still active,"27,995"
29903031,still active,"9,395"
29903032,still active,"11,395"
29903051,still active,"9,995"
29903055,still active,"2,995"
29903116,still active,"11,644"
29903121,still active,"14,611"
29903122,still active,"17,995"
29903123,still active,"21,344"
29903161,still active,"2,995"
29903196,still active,"8,950"
29903198,still active,"13,950"
29903200,still active,"15,950"
29903203,still active,"16,495"
29903206,still active,"22,695"
29903213,still active,"25,995"
29903215,still active,"20,995"
29903218,still active,"2,995"
29903231,still active,"5,995"
29903233,still active,"7,395"
29903248,still active,"12,495"
29903251,still active,"13,995"
29903257,still active,"19,395"
29903260,still active,"18,395"
29903268,still active,"2,795"
29903269,still active,"13,395"
29903272,still active,"24,990"
29903274,still active,"43,995"
29903277,still active,"35,995"
29903278,still active,"26,490"
29903321,still active,"28,995"
29903325,still active,"15,395"
29903326,still active,"28,195"
29903327,still active,"20,250"
29903329,still active,"19,650"
29903332,still active,"12,495"
29903337,still active,"17,795"
29903352,still active,"24,495"
29903354,still active,"26,995"
29903363,still active,"30,745"
29903369,still active,"4,990"
29903405,still active,"21,499"
29903409,still active,"3,995"
29903413,still active,"5,950"
29903415,still active,"7,450"
29903432,still active,"5,195"
29903436,still active,"8,690"
29903438,still active,"7,990"
29903439,still active,"19,500"
29903469,still active,"14,275"
29903476,still active,"32,975"
29903482,still active,"7,995"
29903502,still active,"15,995"
29903532,still active,"15,450"
29903533,still active,"13,950"
29903535,still active,"6,995"
29903553,still active,"3,995"
29903557,still active,"19,250"
29903586,still active,"14,495"
29903589,still active,"11,950"
29903590,still active,"7,950"
29903726,still active,"15,965"
29903900,still active,"23,415"
29904152,inactive on: 10/09/2023,"31,490"
29904154,still active,"30,990"
29904207,still active,"31,480"
29904261,inactive on: 10/09/2023,"11,499"
29904328,inactive on: 04/09/2023,"10,800"
29904345,inactive on: 04/09/2023,"26,895"
29904369,still active,"22,242"
29904438,inactive on: 18/09/2023,"24,949"
29904459,inactive on: 04/09/2023,"48,990"
29904461,still active,"37,490"
29904465,still active,"15,690"
29904509,inactive on: 18/09/2023,"10,090"
29904510,inactive on: 10/09/2023,"31,200"
29904514,inactive on: 18/09/2023,"18,990"
29904526,still active,"26,484"
29904616,still active,"21,271"
29904640,inactive on: 10/09/2023,"31,890"
29904731,inactive on: 04/09/2023,"14,699"
29904735,inactive on: 10/09/2023,"16,296"
29904812,inactive on: 10/09/2023,"24,900"
29904826,inactive on: 04/09/2023,"15,990"
29904846,still active,"18,990"
29904950,inactive on: 10/09/2023,"16,311"
29904992,still active,"15,963"
29905015,still active,"18,495"
29905025,inactive on: 04/09/2023,"10,500"
29905040,still active,"8,248"
29905124,inactive on: 04/09/2023,"11,387"
29905170,inactive on: 04/09/2023,"19,490"
29905179,inactive on: 04/09/2023,"19,999"
29905298,still active,"9,000"
29905301,still active,"4,000"
