advert_id,manufacturer_id,model_id,Year,Engine size (litres),Mileage (miles),fuel_type_id,transmission_type_id,Colour,body_type_id,Mpg,wheel_drive_type_id,Doors,Seats,Engine power (bhp),Top speed (mph),Acceleration (0-62 mph) (seconds),CO2 rating (g/km),Tank range (miles),price,status
29890100,4,19,2015,2.993,71538,2,3,Aruba Premium Metallic,6,40.4,3,5,5,306,130,6.8,185,791,26995,
29890103,11,20,2018,3.993,14000,1,3,IBIS WHITE GLOSS,1,30.1,3,4,5,444,155,4.4,218,497,34995,inactive on: 10/09/2023
29890108,8,21,2019,2.999,20500,1,3,Grey,7,31.7,3,2,4,429,155,4.5,204,460,47995,inactive on: 18/09/2023
29890116,1,22,2015,1.496,58000,2,2,White,2,72.4,1,5,5,116,124,10.3,103,828,9895,
29890323,8,8,2017,1.5,41627,2,2,Red,2,68.9,2,5,5,108,118,11.3,102,758,14298,
29890373,11,23,2019,2.0,22495,1,1,Grey,3,30.7,3,5,5,187,136,7.4,173,405,37790,inactive on: 04/09/2023
29890377,3,24,2023,1.5,3219,3,1,Black,3,134.5,2,5,5,177,112,7.0,49,1420,44490,
29890399,15,25,2022,1.0,7432,1,2,Yellow,2,58.9,2,5,4,66,100,14.1,110,453,10495,
29890402,15,26,2019,1.6,20600,1,3,Red,3,32.1,3,5,5,174,125,8.8,168,438,24995,
29890406,16,27,2022,1.5,4885,3,3,Grey,2,68.9,2,5,5,91,109,9.7,92,546,19069,inactive on: 10/09/2023
29890420,16,27,2022,1.5,6552,3,3,Blue,2,68.9,2,5,5,91,109,9.7,92,546,19088,inactive on: 18/09/2023
29890422,15,25,2021,1.0,7700,1,2,Grey,2,53.3,2,5,4,99,112,9.9,119,410,13850,
